event,year,track,title,authors,sol_link,pdf_url,file
SBSeg,2022,principal,BG-IDPS: Detecção e Prevenção de Intrusões em Tempo Real em Switches eBPF com o Filtro de Pacotes Berkeley e a Metaheurística GRASP-FS,"Diego Carvalho, Vagner E. Quincozes, Silvio E. Quincozes, Juliano F. Kazienko, Carlos Raniery Paula dos Santos",https://sol.sbc.org.br/index.php/sbseg/article/view/21664,https://sol.sbc.org.br/index.php/sbseg/article/download/21664/21488,SBSeg/2022/principal/21664_BG-IDPS-Deteccao-e-Prevencao-de-Intrusoes-em-Tempo-Real-em-Switches-eBPF-com-o-Filtro-de-P.pdf
SBSeg,2022,principal,Uma Análise de Métodos de Seleção de Características aplicados à Detecção de Malwares Android,"Tainá Soares, Diego Kreutz, Vanderson Rocha, Estevão Costa, Luiza Leão, Jonas Pontes, Joner Assolin, Gustavo Rodrigues, Eduardo Feitosa",https://sol.sbc.org.br/index.php/sbseg/article/view/21675,https://sol.sbc.org.br/index.php/sbseg/article/download/21675/21499,SBSeg/2022/principal/21675_Uma-Analise-de-Metodos-de-Selecao-de-Caracteristicas-aplicados-a-Deteccao-de-Malwares-Andr.pdf
SBSeg,2022,principal,Avaliação de Ferramentas de AutoML em Datasets de Detecção de Malwares Android,"Guilherme Siqueira, Diego Kreutz, Joner Assolin, Estevão Costa, Charles Miers, Rodrigo Mansilha, Jonas Pontes, Eduardo Feitosa",https://sol.sbc.org.br/index.php/sbseg/article/view/21676,https://sol.sbc.org.br/index.php/sbseg/article/download/21676/21500,SBSeg/2022/principal/21676_Avaliacao-de-Ferramentas-de-AutoML-em-Datasets-de-Deteccao-de-Malwares-Android.pdf
SBSeg,2022,principal,Avaliação de Métodos de Classificação baseados em Regras de Associação para Detecção de Malwares Android,"Vanderson da Silva Rocha, Diego Kreutz, Jonas Pontes, Eduardo Feitosa",https://sol.sbc.org.br/index.php/sbseg/article/view/21677,https://sol.sbc.org.br/index.php/sbseg/article/download/21677/21501,SBSeg/2022/principal/21677_Avaliacao-de-Metodos-de-Classificacao-baseados-em-Regras-de-Associacao-para-Deteccao-de-Ma.pdf
SBSeg,2022,estendido,ERENO: An Extensible Tool For Generating Realistic IEC-61850 Intrusion Detection Datasets,"Silvio E. Quincozes, Célio Albuquerque, Diego Passos, Daniel Mossé",https://sol.sbc.org.br/index.php/sbseg_estendido/article/view/21685,https://sol.sbc.org.br/index.php/sbseg_estendido/article/download/21685/21509,SBSeg/2022/estendido/21685_ERENO-An-Extensible-Tool-For-Generating-Realistic-IEC-61850-Intrusion-Detection-Datasets.pdf
SBSeg,2022,estendido,ERENO-UI: Uma Ferramenta para a Geração de Conjuntos de Dados para a Detecção de Intrusão em Redes IEC-61850,"Silvio E. Quincozes, Vagner E. Quincozes, Célio Albuquerque, Diego Passos, Daniel Mossé",https://sol.sbc.org.br/index.php/sbseg_estendido/article/view/21694,https://sol.sbc.org.br/index.php/sbseg_estendido/article/download/21694/21518,SBSeg/2022/estendido/21694_ERENO-UI-Uma-Ferramenta-para-a-Geracao-de-Conjuntos-de-Dados-para-a-Deteccao-de-Intrusao-e.pdf
SBSeg,2022,estendido,FWNL: Um Sistema de Processamento de Linguagem Natural para Configuração de Múltiplos Firewalls,"José A. S. Goulart, Washington L. M. F. Junior, Kayuã O. Paim, Gabriel M. Lunardi, Diego L. Kreutz, Rodrigo B. Mansilha",https://sol.sbc.org.br/index.php/sbseg_estendido/article/view/21700,https://sol.sbc.org.br/index.php/sbseg_estendido/article/download/21700/21524,SBSeg/2022/estendido/21700_FWNL-Um-Sistema-de-Processamento-de-Linguagem-Natural-para-Configuracao-de-Multiplos-Firew.pdf
SBSeg,2022,estendido,AutoCAR: Automação e Reprodutibilidade de Testes de Métodos de Classificação Baseados em Regras de Associação,"Vanderson da Silva Rocha, Diego Kreutz, Eduardo Feitosa",https://sol.sbc.org.br/index.php/sbseg_estendido/article/view/21701,https://sol.sbc.org.br/index.php/sbseg_estendido/article/download/21701/21525,SBSeg/2022/estendido/21701_AutoCAR-Automacao-e-Reprodutibilidade-de-Testes-de-Metodos-de-Classificacao-Baseados-em-Re.pdf
SBSeg,2022,estendido,DroidAutoML: uma Ferramenta de AutoML para o Domínio de Detecção de Malwares Android,"Joner Assolin, Diego Kreutz, Guilherme Siqueira, Vanderson Rocha, Charles Miers, Rodrigo Mansilha, Eduardo Feitosa",https://sol.sbc.org.br/index.php/sbseg_estendido/article/view/21702,https://sol.sbc.org.br/index.php/sbseg_estendido/article/download/21702/21526,SBSeg/2022/estendido/21702_DroidAutoML-uma-Ferramenta-de-AutoML-para-o-Dominio-de-Deteccao-de-Malwares-Android.pdf
SBSeg,2022,estendido,ADBuilder: uma Ferramenta de Construção de Datasets para Detecção de Malwares Android,"Lucas Vilanova, Diego Kreutz, Joner Assolin, Vagner Quincozes, Charles Miers, Rodrigo Mansilha, Eduardo Feitosa",https://sol.sbc.org.br/index.php/sbseg_estendido/article/view/21703,https://sol.sbc.org.br/index.php/sbseg_estendido/article/download/21703/21527,SBSeg/2022/estendido/21703_ADBuilder-uma-Ferramenta-de-Construcao-de-Datasets-para-Deteccao-de-Malwares-Android.pdf
SBSeg,2022,estendido,FS3E: uma Ferramenta para Execução e Avaliação de Métodos de Seleção de Características para Detecção de Malwares Android,"Estevão Costa, Diego Kreutz, Vanderson Rocha, Luíza Leão, Sávio Sabóia, Nicolas Neves, Eduardo Feitosa",https://sol.sbc.org.br/index.php/sbseg_estendido/article/view/21704,https://sol.sbc.org.br/index.php/sbseg_estendido/article/download/21704/21528,SBSeg/2022/estendido/21704_FS3E-uma-Ferramenta-para-Execucao-e-Avaliacao-de-Metodos-de-Selecao-de-Caracteristicas-par.pdf
